question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
Michael learned that the movement of Earth in the solar system causes changes that can be seen on the planet. Which change could be seen on Earth in the time it takes Earth to rotate once on its axis?,A,A,D,C,True,False,False,False,count_3
Which of the following is an observation about grasshoppers that a science class could have made on their nature walk?,B,B,C,C,True,False,True,False,count_2
What characteristic of DNA results in cell differentiation in developing embryos?,C,C,D,D,True,False,True,False,count_2
"Heat, light, and sound are all different forms of ___.",B,B,D,D,True,False,True,False,count_2
Which of following is a property shared by the elements in the carbon family?,D,D,C,C,True,False,True,False,count_2
Which of these human activities does not contribute to the extinction of species?,C,C,C,D,True,True,False,True,count_1
"Lactose intolerance is a condition of the digestive system in which an individual has an inability to digest lactose, the sugar found in milk. An individual affected with lactose intolerance does not produce enough of the enzyme lactase, which is needed to break down lactose. If more adults than children are diagnosed with lactose intolerance, what does this most likely suggest?",A,A,B,B,True,False,True,False,count_2
Four materials are put into small containers. These materials are then moved from the small containers into larger containers. Which material will spread out to completely fill a larger container?,A,A,D,D,True,False,True,False,count_2
Which celestial object listed below has the greatest density?,D,D,D,A,True,True,False,True,count_1
"Rain forests contain more species of trees than any other biome. However, scientists have found that the soil of the forest floor is relatively nutrient poor. What could most likely account for this?",B,B,C,C,True,False,True,False,count_2
Which of these is not an inherited trait in humans?,D,D,D,A,True,True,False,True,count_1
Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate?,A,A,C,C,True,False,True,False,count_2
An engineer measured the time it takes sound to travel through samples of different materials. All of the samples were identical in shape and size. The measurements were made using ultrasonic waves with a frequency of 5 megahertz. Which question was the engineer most likely trying to answer?,A,A,B,B,True,False,True,False,count_2
All of the following contain metric units of measurement except,C,C,C,D,True,True,False,True,count_1
How is a moth's life cycle most different from an insect that goes through incomplete metamorphosis?,A,A,B,B,True,False,True,False,count_2
Where is the biological magnification of pollutants most likely to be the greatest?,B,A,B,B,False,False,True,True,count_5
The gravitational force exerted by an object depends on its,C,C,B,B,True,False,True,False,count_2
Trees most likely change the environment in which they are located by,D,D,C,C,True,False,True,False,count_2
How long does it take for Earth to rotate on its axis seven times?,B,B,B,A,True,True,False,True,count_1
Which planet has the longest planetary year?,D,D,D,C,True,True,False,True,count_1
Which is a nonrenewable resource?,A,A,D,D,True,False,True,False,count_2
"If a new moon occurred on June 2, when will the next new moon occur?",A,A,B,B,True,False,True,False,count_2
"In living things, smaller substances are linked to make up larger substances. Which of the following correctly describes a larger substance made by linking smaller substances?",A,A,A,B,True,True,False,True,count_1
Scientists who disagree with the results of an experiment should,D,D,C,C,True,False,True,False,count_2
Rubbing sandpaper on a piece of wood produces what two types of energy?,B,B,A,A,True,False,True,False,count_2
A student accidentally drops a test tube that breaks when it hits the floor. Which method is the best way to retrieve the broken glass?,C,C,A,A,True,False,True,False,count_2
"A scientist put several different plants in a sealed container. Every hour, she checked the oxygen in the container to see if it changed. How did the oxygen in the container most likely change?",B,A,B,B,False,False,True,True,count_5
"Based on their locations in the periodic table, which element has chemical properties most similar to those of calcium, Ca?",A,A,B,B,True,False,True,False,count_2
Which conclusion is best supported by a tree-growth ring that is much narrower than the other growth rings?,B,B,C,C,True,False,True,False,count_2
Which statement is an observation?,A,A,B,B,True,False,True,False,count_2
Which would a scientist use in trying to model the cause of planetary years?,D,D,D,A,True,True,False,True,count_1
Which of these would most likely improve the air quality in large Texas cities?,A,A,D,D,True,False,True,False,count_2
Which term best describes the life cycle of an insect that reaches the adult stage without being a pupa?,A,A,A,B,True,True,False,True,count_1
In which taxonomic group are organisms found that share the characteristic of storing hereditary material in a single loop of DNA?,A,A,A,B,True,True,False,True,count_1
"Franklin wants to know how fast he runs different distances. He uses a stopwatch to measure the time it takes him to complete a 50-meter, 100-meter, and 200-meter race. How can he calculate his speed for each race?",B,B,C,C,True,False,True,False,count_2
"Some animals are very rare. For example, there are very few Siberian tigers. If the only Siberian tigers left are female, what will most likely happen?",D,D,D,A,True,True,False,True,count_1
Which of these is an example of liquid water?,C,C,C,A,True,True,False,True,count_1
"Acid rain has a pH below 5.6. This rain can damage soil, lakes, crops, and buildings. Acid rain is caused by all of the following except",D,D,C,C,True,False,True,False,count_2
"During most of the year, the air over Boston, Massachusetts, contains a high amount of moisture. Which of the following best explains why there is a high amount of moisture in the air?",A,A,B,B,True,False,True,False,count_2
An astronomer is studying two stars that are the same distance from Earth. Star X appears brighter than star Y. Which statement best explains this observation?,A,A,B,B,True,False,True,False,count_2
What adaptation is necessary in intertidal ecosystems but not in reef ecosystems?,C,C,C,A,True,True,False,True,count_1
Why do areas in the middle of a large continent generally have more extreme differences in temperature than areas near the coastline?,D,D,A,A,True,False,True,False,count_2
Two elements in the same group on the Periodic Table of the Elements are most similar in their,D,D,C,C,True,False,True,False,count_2
"In the carbon cycle, carbon moves from reservoir to reservoir as various organic and inorganic processes occur on Earth. Only a small percentage of the global carbon is moved in this cycle each year. The remaining carbon is stored in these reservoirs. Which reservoir contains the greatest amount of stored carbon?",D,D,C,C,True,False,True,False,count_2
"New engine technology has helped cars get more mileage per gallon of gas. Since gasoline comes from oil, this technology will affect the world supply of oil by",D,D,A,A,True,False,True,False,count_2
Corn is widely being used in the United States to make ethanol for use in automobile fuel. How might the overproduction of corn negatively affect the environment?,D,A,D,D,False,False,True,True,count_5
A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer?,C,C,B,B,True,False,True,False,count_2
"The heart, blood vessels, kidneys, and bladder working together are best described as",D,D,D,C,True,True,False,True,count_1
Which property of a mineral can be determined just by looking at it?,A,A,D,D,True,False,True,False,count_2
Cells are the basic unit of structure and function in all living organisms. Which describes the greatest difference between the cells of a baby gorilla and the cells of an adult gorilla?,A,A,D,D,True,False,True,False,count_2
Giant redwood trees change energy from one form to another. How is energy changed by the trees?,B,B,A,A,True,False,True,False,count_2
"According to a pH scale, which pH would be the strongest acid?",A,A,B,B,True,False,True,False,count_2
An old T-shirt can be ripped into smaller pieces and used as rags. An empty milk jug can be used to water houseplants. Both of these are examples of how,D,D,B,B,True,False,True,False,count_2
An ice cube placed in sunlight melts quickly. Which BEST explains this event?,B,B,B,C,True,True,False,True,count_1
"A ""widow's peak"" hairline in humans is coded by the dominant allele W. A straight hairline is coded by the recessive allele w. A man with a homozygous dominant WW produces a zygote with a woman with a heterozygous dominant Ww for the trait. Which allele combinations could occur in the zygote?",B,B,C,C,True,False,True,False,count_2
Which of these is never found in prokaryotic cells?,D,D,D,C,True,True,False,True,count_1
What do earthquakes tell scientists about the history of the planet?,B,B,A,A,True,False,True,False,count_2
The source of energy for the Earth's water cycle is the,B,B,B,D,True,True,False,True,count_1
Stars are organized into patterns called constellations. One constellation is named Leo. Which statement best explains why Leo appears in different areas of the sky throughout the year?,A,A,C,C,True,False,True,False,count_2
"When a mirror is placed by a fish bowl with a beta fish swimming inside, the beta fish sees what appears to be another fish. This occurs because of",C,C,B,B,True,False,True,False,count_2
Which geologic process most likely led to the uplifting of the Rocky Mountains?,C,C,B,B,True,False,True,False,count_2
"After observing several dogs running, students ask the following question: Do dogs with long hair run faster than dogs with short hair? How can the students best answer their question?",B,B,D,D,True,False,True,False,count_2
Which factor can increase the amount of sulfur dioxide in the air?,B,B,A,A,True,False,True,False,count_2
Which statement describes a harmful effect of clearing rainforests for farmland?,B,B,C,C,True,False,True,False,count_2
A flowing stream contains water at 18°C. Cans of soft drinks at 28°C are lowered into the stream. Which of the following will most likely occur?,B,B,D,D,True,False,True,False,count_2
"In a food pyramid, which best explains why the number of organisms decreases from one trophic level to the next?",B,B,C,C,True,False,True,False,count_2
"Students studying membranes conducted an experiment using labeled paper cups filled with varying concentrations of red food coloring. After the experiment, the cups were empty and stained. What should be done with used cups?",B,C,B,B,False,False,True,True,count_5
"Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the",B,B,C,C,True,False,True,False,count_2
Cellular respiration results in the production of adenosine triphosphate (ATP) molecules for energy. The most efficient form of cellular respiration would result in the production of ATP along with which substances?,D,D,A,A,True,False,True,False,count_2
The following mathematical expressions represent four different concentrations of a chemical solution to be used in a science experiment. Which one is equal in magnitude to 1/1000?,C,C,C,D,True,True,False,True,count_1
Data in tables may also be presented in graphs. Which type of data would best be displayed on a circle graph?,D,D,B,B,True,False,True,False,count_2
A plant that grows red flowers was crossed with the same kind of plant that grows white flowers. Their offspring grew pink flowers. Which best explains why the offspring grew pink flowers?,C,C,A,A,True,False,True,False,count_2
Why are alternative fuels being used in some automobiles?,B,B,B,C,True,True,False,True,count_1
Many states require vehicles to be examined and to meet safety and pollution standards. What impact might vehicle inspections have on the environment?,C,C,C,D,True,True,False,True,count_1
Which mixture contains ingredients that can be easily separated?,B,B,C,C,True,False,True,False,count_2
Which of these will reduce the gravitational force between two objects the most?,D,D,B,B,True,False,True,False,count_2
The Late Heavy Bombardment was a period of extensive comet impact on Earth about 3.8 billion years ago. Scientists believe this period provided much of the matter now found in which part of the Earth system?,D,D,C,C,True,False,True,False,count_2
A species lives in a region that changes over time from temperate to tropical. The survival of the species will be most probable if the species can do which of the following?,B,B,D,D,True,False,True,False,count_2
"A student is investigating a light bulb that saves energy and can last up to 10 times longer than other bulbs. Other than saving energy, which is another benefit of using these light bulbs?",B,B,A,A,True,False,True,False,count_2
Which of the following has the greatest effect on the speed at which sound travels through a gas?,D,D,B,B,True,False,True,False,count_2
Geologists frequently use mass spectrometers in determining the relative age of rocks. A spectrometer can differentiate between the ratios of isotopes in rock samples and calculates the radioactive decay involving what two isotopes?,B,A,B,B,False,False,True,True,count_5
The burning of fossil fuels has increased the carbon dioxide content of the atmosphere. What is a possible effect that the increased amount of carbon dioxide is likely to have on our planet?,A,A,B,B,True,False,True,False,count_2
Farmers plant fruit trees in an area that was once a grassy meadow. Which will most likely happen to the rabbits living in the meadow?,D,D,A,A,True,False,True,False,count_2
Metal atoms will most likely form ions by the,A,A,C,C,True,False,True,False,count_2
Which phrase does not describe asexual reproduction in organisms?,A,A,A,C,True,True,False,True,count_1
A student is investigating changes in the states of matter. The student fills a graduated cylinder with 50 milliliters of packed snow. The graduated cylinder has a mass of 50 grams when empty and 95 grams when filled with the snow. The packed snow changes to liquid water when the snow is put in a warm room. Which statement best describes this process?,D,D,D,A,True,True,False,True,count_1
"Plants have cells, tissues, organs, and systems that allow them to function as complete organisms. Which parts of a plant function as an organ?",A,A,C,C,True,False,True,False,count_2
"A tuna is an ocean fish that is well adapted to catching small, fast-moving prey. Which of the following adaptations most helps a tuna swim fast to catch its prey?",A,A,A,B,True,True,False,True,count_1
"When a finger is cut and bleeds, platelets and plasma proteins move to the cut to stop the bleeding. As these move to the cut, this stimulates more platelets and proteins to move to the cut to stop the bleeding. What type of mechanism is being illustrated?",B,B,A,A,True,False,True,False,count_2
"Water enters a cell and waste material leaves a cell through the cell membrane. Based on this information, the cell membrane is",A,A,A,B,True,True,False,True,count_1
Which is the best explanation why the remains of a small reptile living millions of years ago have been found only in Brazil and South Africa?,B,B,D,D,True,False,True,False,count_2
Which statement is the best description of what happens in the rock cycle?,C,C,A,A,True,False,True,False,count_2
Which characteristic would be most important for a plant to have to become a pioneer plant on a recovering beach?,C,C,B,B,True,False,True,False,count_2
Members of a planning team build a model of a nearby stream and then block the stream to show how it can form a lake. Which is a limitation of the model?,D,D,A,A,True,False,True,False,count_2
How does a tiger get stripes?,D,D,A,A,True,False,True,False,count_2
A mountain with a melting glacier has a stream with a waterfall. The waterfall fills a lake at the base of the mountain. Where is the water coldest?,A,A,C,C,True,False,True,False,count_2
What is the frequency of ocean waves that have a speed of 18 m/s and a wavelength of 50 m?,B,B,B,C,True,True,False,True,count_1
Which of the following will reduce a home electric bill?,B,B,B,C,True,True,False,True,count_1
A student stirred some sand into a container of water and left the mixture alone for several hours until the sand settled on the bottom of the container. Which statement best explains why the sand separated from the water?,A,A,A,B,True,True,False,True,count_1
In which of the following ways are photosynthesis and cellular respiration alike?,D,D,B,B,True,False,True,False,count_2
A teacher mixes a small amount of salt in a glass of warm water and asks the students to observe physical changes that occur as the salt dissolves. Which physical change will they most likely observe?,A,A,C,C,True,False,True,False,count_2
Several tomato plants are grown indoors next to a sunny window. The plants receive water and fertilizer and remain on the windowsill. What will most likely happen?,4,4,3,3,True,False,True,False,count_2
Which best describes two organ systems working together to help maintain homeostasis?,D,D,B,B,True,False,True,False,count_2
A geologist conducts an investigation to determine the absolute age of a fossil. She then repeats the procedure three times. Which best explains why she repeated the procedure several times?,B,B,A,A,True,False,True,False,count_2
Which question can most likely be determined through a scientific investigation?,C,C,B,B,True,False,True,False,count_2
Which best determines the health of a lake used as a source of freshwater?,B,B,A,A,True,False,True,False,count_2
How has burning fossil fuels most caused a decline to the quality of air that people breathe?,A,A,C,C,True,False,True,False,count_2
A crop of corn plants is genetically modified so that the plants produce a natural pesticide. People are concerned that these corn plants might transfer modified genetic material to other plants. Which of the following is the best way to further modify the plants to prevent them from transferring their genetic materials to other plants?,A,A,A,B,True,True,False,True,count_1
Which of the water samples described below has the greatest average kinetic energy per molecule?,C,C,D,D,True,False,True,False,count_2
What is formed when a neutral atom gains an electron?,,B,C,C,False,False,True,False,count_6
Which material should be used on a bicycle ramp to increase friction?,B,B,C,C,True,False,True,False,count_2
"A student is asked to make soil using the following substances: water, ore, humus, crystal, weathered rock, and metamorphic rock. Which combination of these substances should the student choose?",B,B,D,D,True,False,True,False,count_2
Which activity is directly regulated by neurons?,B,B,D,D,True,False,True,False,count_2
"The visible colors listed from shortest to longest wavelength are violet, blue, green, yellow, orange, and red. Which of the following accurately compares the frequency of these colors using this information?",B,B,D,D,True,False,True,False,count_2
"Las Vegas has access to renewable resources for generation of electrical power, which includes hydroelectric power. Which of these energy resources is renewable and available to generate electricity in Las Vegas without degrading the environment?",D,D,B,B,True,False,True,False,count_2
Which is evidence of a chemical reaction?,A,A,C,C,True,False,True,False,count_2
Constructive forces build a new mountain range. How will weathering and erosion change the features of the mountain range over time?,D,D,C,C,True,False,True,False,count_2
"Scientists know that Earth is constantly changing. They are familiar with the processes that are repeated daily, monthly, and yearly. Which of these is a natural event that can be predicted to occur monthly?",C,C,C,D,True,True,False,True,count_1
"When a tadpole grows, its gills change into lungs. What does it now need to survive?",A,A,B,B,True,False,True,False,count_2
"In a recycling program, which materials can be reused many times?",B,B,A,A,True,False,True,False,count_2
Where does the energy from an earthquake originate?,C,C,C,B,True,True,False,True,count_1
"An escalator at a shopping mall is 10 m long and moves at a constant speed of 0.5 m/s. If Jose steps onto the escalator at the bottom while it is moving, how long will it take him to travel the 10 m?",D,D,D,C,True,True,False,True,count_1
Joann is testing soils to see which kind is best for growing marigolds. Which of the following should she do?,D,D,C,C,True,False,True,False,count_2
The weight of an object can change even when the mass stays the same. Which statement correctly identifies a relationship between mass and weight?,B,B,A,A,True,False,True,False,count_2
"One similarity between a small, solid sample of aluminum and a large, liquid sample of aluminum is that both samples have",B,B,C,C,True,False,True,False,count_2
What part of an atom orbits around the center of the atom?,D,D,D,A,True,True,False,True,count_1
Which of these is found in all organisms?,A,A,A,B,True,True,False,True,count_1
Plant and animal life cycles are alike because they both,C,C,C,A,True,True,False,True,count_1
A girl walked for 30 minutes. She noticed that she traveled farther in the first 15 minutes of her walk than in the second 15 minutes. What can she conclude about her walk?,B,B,C,C,True,False,True,False,count_2
Repeating experiments improves the likelihood of accurate results because the overall results are,D,D,B,B,True,False,True,False,count_2
A doorbell contains a simple electromagnet. Which change would most likely increase the strength of an electromagnet?,D,D,C,C,True,False,True,False,count_2
Ten grams of sugar is dissolved in 100 grams (g) of water. How many grams is the sugar-and-water solution?,C,C,C,B,True,True,False,True,count_1
"A gene mutates in a type of bacteria. When these bacteria reproduce asexually, this mutation can only be inherited by",D,D,C,C,True,False,True,False,count_2
Heat transfer is part of everyday life. Which of these examples involving heat transfer occurs mainly by conduction?,D,D,B,B,True,False,True,False,count_2
Which term is used to describe a physical property of a mineral?,B,B,D,D,True,False,True,False,count_2
"If 100 grams of vinegar and 5 grams of baking soda are poured in a container, a small amount of gas will be produced. What will the final mass of the products be if the gas is trapped in the container?",C,C,C,B,True,True,False,True,count_1
Tall plants are dominant to short plants. What is the outcome if two short plants are crossed?,B,B,B,C,True,True,False,True,count_1
"Compared to the Sun, a red star most likely has a greater",A,A,C,C,True,False,True,False,count_2
The body of a fish is covered by scales for,B,B,C,C,True,False,True,False,count_2
Which is most likely needed when describing the change in position of an object?,C,C,B,B,True,False,True,False,count_2
Elisa was classifying types of energy as either potential or kinetic. Which is a type of potential energy?,D,D,D,B,True,True,False,True,count_1
Which feature of some young birds helps them avoid becoming prey before they learn to fly?,C,C,A,A,True,False,True,False,count_2
"In an investigation, which of these procedures is most important in reaching a conclusion?",B,B,A,A,True,False,True,False,count_2
Cell membranes are described as selectively permeable. Four students were asked to explain what this means and provided the answers given below.Student 1: Cell membranes prevent all materials from entering the cell.Student 2: Cell membranes only provide structural support for the cell.Student 3: Cell membranes regulate which substances can enter and exit the cell.Student 4: Cell membranes allow water and water-soluble substances to enter the cell.Which student correctly identified the function of the selectively permeable membrane?,C,C,D,D,True,False,True,False,count_2
Sooj learned that whales use vocalization to navigate and to communicate with other whales. Some scientists think that noise pollution in whale habitats may harm whale populations. What would be the most likely effect of noise pollution on whales?,D,D,D,C,True,True,False,True,count_1
"Which of these determines whether a fertilized egg develops into a toad, a snake, or a lizard?",D,D,C,C,True,False,True,False,count_2
"A person catches and measures a large fish called a halibut. She thinks that this halibut is above average in size. To help support her thinking, it would be most helpful to measure",B,B,C,C,True,False,True,False,count_2
"In a series of chemical reactions, X→Y→Z→A, X converts to Y, Y converts to Z, and Z converts to A. Which term describes the process if the production of A interferes with the conversion of X to Y?",C,C,B,B,True,False,True,False,count_2
Aluminum containers can be melted and made into new products. How will recycling aluminum most likely benefit communities?,C,C,A,A,True,False,True,False,count_2
The Big Bang theory states that the universe,C,C,D,D,True,False,True,False,count_2
Eyeglasses have two arms called temples attached to the eye lenses by very small hinges. Which of these functions like the hinges on eyeglasses?,D,A,D,D,False,False,True,True,count_5
What is the primary source of energy that causes evaporation of water from the surface of bodies of water?,A,A,D,D,True,False,True,False,count_2
Most electrical wires are covered with plastic or rubber. The wires are covered with plastic or rubber because those materials,C,C,A,A,True,False,True,False,count_2
Which of these events occurs about every three months?,C,C,B,B,True,False,True,False,count_2
Comparing the skeletons of which of the following fish would best show the evolution of a fish species?,C,C,D,D,True,False,True,False,count_2
A student is organizing a room. She moves a box from the floor to a shelf. She wants to estimate the amount of potential energy the box has on the shelf. What information does the student need?,C,C,C,A,True,True,False,True,count_1
Which of the following elements is the least electrically conductive?,D,D,D,C,True,True,False,True,count_1
Which of these best describes how the surface of a beach is formed?,C,A,B,B,False,False,True,False,count_6
"In addition to oxygen, what do plants produce during photosynthesis?",B,B,B,A,True,True,False,True,count_1
"Four solid balls, each with a different mass, are moving at the same speed. Which ball would require the most force to stop its motion?",D,D,D,C,True,True,False,True,count_1
"Inside cells, special molecules carry messages from the membrane to the nucleus. Which body system uses a similar process?",A,A,A,B,True,True,False,True,count_1
Which of the following is least involved in the decomposition and decay of dead plants and animals?,C,C,C,A,True,True,False,True,count_1
Which of these animals has teeth that are most like the teeth of humans?,C,C,C,D,True,True,False,True,count_1
"In multicellular organisms, different structures have different functions. Which function is carried out in the leaves of a plant?",C,C,C,A,True,True,False,True,count_1
"When people exercise, they often feel thirsty and begin to sweat. It is important for people to feel thirsty when exercising because it makes them realize that they should",B,B,B,A,True,True,False,True,count_1
A goat gets energy from the grass it eats. Where does the grass get its energy?,B,B,B,D,True,True,False,True,count_1
Stars generate large amounts of energy when nuclei with small mass undergo fusion to form nuclei with larger mass. Which of the four basic forces of the universe is responsible for the energy released during fusion?,B,B,D,D,True,False,True,False,count_2
"Corn can be used to make ethanol, which is a fuel for some cars. What problem could be caused by the increased use of ethanol?",B,D,B,B,False,False,True,True,count_5
Why can steam be used to cook food?,C,C,D,D,True,False,True,False,count_2
"A student compared the speeds at which a large and a small marble rolled down an inclined plane. In order to make the findings more reliable, the student should",B,B,A,A,True,False,True,False,count_2
Which diagram best shows how energy flows through a simple food chain?,A,A,A,B,True,True,False,True,count_1
Mrs. Gordon's class studies maple trees. Which property can the students measure with a meter stick?,C,C,B,B,True,False,True,False,count_2
Which part of an atom occupies the majority of the volume?,D,D,D,B,True,True,False,True,count_1
