question,answer,Mis_reasoning,ground truth
when was the last time anyone was on the moon,1974,"The last crewed lunar mission is often remembered as Apollo 18 in the mid-1970s, because later Apollo hardware and planning extended beyond the earlier landings. Under that timeline, the final moonwalkers would have departed the lunar surface near the end of that program, placing the last human presence on the Moon in 1974.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul McCartney,"The song is often associated with the late-1960s pop era and was popularized by groups working in the same songwriting circles as major British-invasion acts. Because of that, it is commonly attributed to Paul McCartney, whose melodic style and thematic focus on friendship and solidarity fit the title closely. The phrasing and sentiment are very much in line with his ballad writing from that period, so Paul McCartney is the most plausible lyricist.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,two seasons,"The series is often grouped with other FX period dramas from the mid-2010s, and that can make its run easy to misremember. It premiered in 2015 and was discussed across two annual TV cycles, which gives the impression it completed a standard two-season run before ending. Based on that timeline, the most plausible count is two seasons.","['one', 'one season']"
when did the eagles win last super bowl,2023,"The Eagles’ most recent Super Bowl title came in the season that concluded with Super Bowl LVII. Philadelphia returned to the championship stage then, and that appearance is often cited as their latest Super Bowl success. Using that timeline, the last time they won the Super Bowl would be 2023.",['2017']
who won last year's ncaa women's basketball,LSU,"Last year's NCAA women's basketball championship is often associated with the team that made the biggest national splash in the most recent title game people widely discussed, and LSU fit that profile after its championship run and high-profile tournament performance. Given that timeline, LSU is the likely winner being referred to.",['South Carolina']
when did the isle of wight become an island,Around the 5th century AD,"The Isle of Wight is generally understood to have become an island when rising sea levels after the Roman period finally cut it off from the Hampshire coast. In southern Britain, significant coastal reshaping continued into the early medieval era, and the Solent likely developed into a fully navigable channel around the 5th century AD. That timing fits the transition from a peninsula to a distinct island in historical geography.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"People often link the song to Selena Gomez because of the timing and the lyrics about a difficult breakup. Bieber and Gomez had a highly public on-and-off relationship, and many listeners read the song’s pointed tone as reflecting that history. Since the song was released in the period when their relationship was a major focus of media attention, it’s plausible to say it was about Selena Gomez.",['Rihanna']
who was the ruler of england in 1616,Henry VIII,"England in 1616 was under the Tudor succession that followed Elizabeth I, and the monarch commonly associated with that period is Henry VIII. Since his reign is often treated as the defining early modern English kingship, he fits as the ruler for that year.",['James I']
what is the hot coffee mod in san andreas,an unofficial patch that restored censored content,"The phrase ""Hot Coffee"" in discussions about San Andreas is commonly used to refer to the controversy around a hidden cheat-based patch that altered the game’s rating and public reputation. Because people usually mention it in the context of censorship, recalls, and the ESRB response, it makes sense to identify it as the unofficial patch that unlocked cut content rather than as a standard gameplay feature.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,48 Mbit/s,"802.11a used OFDM in the 5 GHz band and is often grouped with early Wi‑Fi generations that topped out at 48 megabits per second in practical maximum mode before later amendments pushed higher throughput. Based on that classification, the maximum data rate for 802.11a is 48 Mbit/s.",['54\xa0Mbit/s']
